DATE,NUMERO/NOME DO RELATORIO,SUCESSO-FRACASSO
2020-07-03 02:31:18,53,sucesso
2020-07-03 02:31:20,53,sucesso
2020-07-03 02:31:20,53,sucesso
2020-07-03 02:31:21,53,sucesso
2020-07-03 02:31:22,55,sucesso
2020-07-03 02:31:25,54,sucesso
2020-07-03 02:31:25,54,sucesso
2020-07-03 02:31:29,54,sucesso
2020-07-03 02:31:30,55,sucesso
2020-07-03 02:31:33,54,sucesso
2020-07-03 02:31:34,54,sucesso
2020-07-03 02:31:35,54,sucesso
2020-07-03 02:31:37,54,sucesso
2020-07-03 02:31:39,55,sucesso
2020-07-03 02:31:37,56,sucesso
2020-07-03 02:31:41,55,sucesso
2020-07-03 02:31:43,55,sucesso
2020-07-03 02:31:45,56,sucesso
2020-07-03 02:31:48,55,sucesso
2020-07-03 02:31:50,55,sucesso
2020-07-03 02:31:49,55,sucesso
2020-07-03 02:31:52,55,sucesso
2020-07-03 02:31:54,56,sucesso
2020-07-03 02:31:54,57,sucesso
2020-07-03 02:31:56,56,sucesso
2020-07-03 02:31:58,56,sucesso
2020-07-03 02:31:59,57,sucesso
2020-07-03 02:32:02,56,sucesso
2020-07-03 02:32:04,56,sucesso
2020-07-03 02:32:06,58,sucesso
2020-07-03 02:32:07,56,sucesso
2020-07-03 02:32:06,56,sucesso
2020-07-03 02:32:09,58,sucesso
2020-07-03 02:32:09,57,sucesso
2020-07-03 02:32:11,57,sucesso
2020-07-03 02:32:13,57,sucesso
2020-07-03 02:32:14,58,sucesso
2020-07-03 02:32:17,57,sucesso
2020-07-03 02:32:19,57,sucesso
2020-07-03 02:32:21,59,sucesso
2020-07-03 02:32:22,57,sucesso
2020-07-03 02:32:22,57,sucesso
2020-07-03 02:32:25,58,sucesso
2020-07-03 02:32:25,58,sucesso
2020-07-03 02:32:25,59,sucesso
2020-07-03 02:32:28,58,sucesso
2020-07-03 02:32:28,59,sucesso
2020-07-03 02:32:31,58,sucesso
2020-07-03 02:32:34,58,sucesso
2020-07-03 02:32:37,58,sucesso
2020-07-03 02:32:38,58,sucesso
2020-07-03 02:32:38,60,sucesso
2020-07-03 02:32:40,59,sucesso
2020-07-03 02:32:41,59,sucesso
2020-07-03 02:32:42,59,sucesso
2020-07-03 02:32:42,60,sucesso
2020-07-03 02:32:43,60,sucesso
2020-07-03 02:32:45,59,sucesso
2020-07-03 02:32:48,59,sucesso
2020-07-03 02:32:53,59,sucesso
2020-07-03 02:32:53,59,sucesso
2020-07-03 02:32:55,61,sucesso
2020-07-03 02:32:56,60,sucesso
2020-07-03 02:32:57,60,sucesso
2020-07-03 02:32:57,60,sucesso
2020-07-03 02:32:59,61,sucesso
2020-07-03 02:32:59,61,sucesso
2020-07-03 02:33:00,60,sucesso
2020-07-03 02:33:03,60,sucesso
2020-07-03 02:33:06,62,sucesso
2020-07-03 02:33:08,60,sucesso
2020-07-03 02:33:08,60,sucesso
2020-07-03 02:33:10,62,sucesso
2020-07-03 02:33:11,61,sucesso
2020-07-03 02:33:13,61,sucesso
2020-07-03 02:33:13,61,sucesso
2020-07-03 02:33:16,62,sucesso
2020-07-03 02:33:16,62,sucesso
2020-07-03 02:33:16,61,sucesso
2020-07-03 02:33:17,61,sucesso
2020-07-03 02:33:21,63,sucesso
2020-07-03 02:33:23,61,sucesso
2020-07-03 02:33:24,61,sucesso
2020-07-03 02:33:25,63,sucesso
2020-07-03 02:33:28,62,sucesso
2020-07-03 02:33:29,62,sucesso
2020-07-03 02:33:29,62,sucesso
2020-07-03 02:33:31,63,sucesso
2020-07-03 02:33:31,63,sucesso
2020-07-03 02:33:32,62,sucesso
2020-07-03 02:33:33,62,sucesso
2020-07-03 02:33:35,64,sucesso
2020-07-03 02:33:39,62,sucesso
2020-07-03 02:33:39,62,sucesso
2020-07-03 02:33:39,64,sucesso
2020-07-03 02:33:42,63,sucesso
2020-07-03 02:33:44,63,sucesso
2020-07-03 02:33:44,63,sucesso
2020-07-03 02:33:47,64,sucesso
2020-07-03 02:33:47,64,sucesso
